,date,total assets,total liabilities,total liabilities and stockholders' equity,net income,net cash provided by operating activities,net cash used for investing activities,net cash used for financing activities
0,2012-11-30,9974523.0,3309341.0,9974523.0,832775.0,1499580.0,834662.0,234723.0
1,2013-03-01,10165711.0,3360373.0,10165711.0,65117000.0,322031000.0,446114000.0,11405000.0
2,2013-05-31,10280369.0,3353067.0,10280369.0,141663.0,621179.0,780553.0,11237.0
3,2013-08-30,10234156.0,3399397.0,10234156.0,224665.0,836704.0,1177788.0,258608.0
4,2013-11-29,10380298.0,3655664.0,10380298.0,289985.0,1151686.0,1177803.0,559138.0
5,2014-02-28,10245882.0,3634999.0,10245882.0,47046.0,251673.0,94422.0,
6,2014-05-30,10372199.0,3735311.0,10372199.0,135573.0,619209.0,242354.0,
7,2014-08-29,10493680.0,3762420.0,10493680.0,180259.0,887729.0,412748.0,
8,2014-11-28,10785829.0,4009924.0,10785829.0,268395.0,1287482.0,490707.0,507283.0
9,2015-02-27,11008422.0,4419402.0,11008422.0,84888.0,183015.0,698371.0,
10,2015-05-29,11165383.0,4555280.0,11165383.0,232381.0,654499.0,737280.0,66827.0
11,2015-08-28,11508395.0,4667063.0,11508395.0,406846.0,1014987.0,1202371.0,85537.0
12,2015-11-27,11726472.0,4724892.0,11726472.0,629551.0,1469502.0,1488358.0,200687.0
13,2016-03-04,11896682.0,4815480.0,11896682.0,254307.0,497527.0,258842.0,
14,2016-06-03,12216783.0,4968172.0,12216783.0,498381.0,986242.0,510347.0,465280.0
15,2016-09-02,12367441.0,5089495.0,12367441.0,769169.0,1504127.0,816935.0,790237.0
16,2016-12-02,12707114.0,5282279.0,12707114.0,1168782.0,2199728.0,960033.0,1090706.0
17,2017-03-03,13044783.0,5456093.0,13044783.0,398446.0,730370.0,338882.0,331495.0
18,2017-06-02,13364900.0,5560902.0,13364900.0,772836.0,1375197.0,426429.0,645927.0
19,2017-09-01,13906815.0,5736381.0,13906815.0,1192405.0,2079633.0,463243.0,864226.0
20,2017-12-01,14535556.0,6075687.0,14535556.0,1693954.0,2912853.0,442877.0,1183735.0
21,2018-03-02,14973485.0,6339457.0,14973485.0,583076.0,989601.0,93762.0,541273.0
22,2018-06-01,15163404.0,6457821.0,15163404.0,1246243.0,1966007.0,26083.0,1258638.0
23,2018-08-31,15395620.0,6533695.0,15395620.0,1912534.0,2921311.0,1546417.0,1930299.0
24,2018-11-30,18768682.0,9406568.0,18768682.0,2590774.0,4029304.0,4685295.0,5568.0
25,2019-03-01,19505536.0,9634051.0,19505536.0,674241.0,1013448.0,131918.0,783912.0
26,2019-05-31,19665909.0,9734216.0,19665909.0,1306834.0,2122776.0,121845.0,1556013.0
27,2019-08-30,20054880.0,9812107.0,20054880.0,2099597.0,3045414.0,287175.0,2180384.0
28,2019-11-29,20762400.0,10232245.0,20762400.0,2951458.0,4421813.0,455584.0,2946044.0
29,2020-02-28,21214.0,10749.0,21214.0,955.0,1325.0,48.0,1233.0
30,2020-05-29,21603.0,10722.0,21603.0,2055.0,2509.0,,2134.0
31,2020-08-28,22414.0,10701.0,22414.0,3010.0,3945.0,283.0,2548.0
32,2020-11-27,24284.0,11020.0,24284.0,5260.0,5727.0,414.0,3488.0
33,2021-03-05,24985.0,11439.0,24985.0,1261.0,1772.0,1558.0,1244.0
34,2021-06-04,25582.0,11730.0,25582.0,2377.0,3760.0,,2324.0
35,2021-09-03,26144.0,11730.0,26144.0,3589.0,5164.0,1798.0,3223.0
36,2021-12-03,27241.0,12444.0,27241.0,4822.0,7230.0,3537.0,4301.0
37,2022-03-05,2289125.9344842695,1178614.1722619964,2289125.9344842695,154651.26256012573,137209.6039232183,575718.9610004539,405432.3032345357
